Session No.,Content,Course
1,mouse training sessions,Computre basics
2,mouse training sessions,
3,keyboard training sessions,
4,keyboard training sessions,
5,keyboard training sessions,
6,keyboard training sessions,
7,Electronics basics,Electronics PC LAB
8,Electronics basics,
9,Electronics basics,
10,Electronics basics,
11,Electronics basics,
12,Electronics basics,
13,Electronics basics,
14,Electronics basics,
15,Electronics basics,Electroic 
16,Electronics basics,
17,Electronics basics,
18,Electronics basics,
19,Electronics basics,
20,Electronics basics,
21,Basics of scratch,Scratch JR
22,Basics of scratch,Scratch JR
23,Basics of scratch,Scratch JR
24,Basics of scratch,Scratch JR
25,Basics of scratch,Scratch JR
