Session No.,,Course
1,"IDE
Install complier",C++ (ECPC & ICPC)
2,"syntax
console
variable
Data Types
input/output",
3,"operators
conditions",
4,loops,
5,functions,
6,Arrays,
7,"Strings
2D Arrays",
8,2D Arrays,
9,Pointers,
10,"vector
pair
map
set
queue
stack",
11,Problem Solving,
12,Problem Solving,
13,Alogrthims,
14,"Sorting

Binary Search

Two Pointers

Prefix Sum

Frequency Array

Sliding Window",
15,Data Structures,
16,Data Structures,
17,Data Structures,
18,Advanced Algorethms,
19,Advanced Algorethms,
20,Advanced Algorethms,
21,Competition Preparing ,
22,,
23,,
24,,
25,,
